DIARIO;NUM_OBRA;DATA_CRIACAO;HORAS;ID_EQUIPAMENTO;NUM_SERIE;MODELO
ORE;24418,000000;20.02.2020;3 081,000000000;19731,000000;PLB10046;323F
ORE;24418,000000;24.02.2020;3 081,000000000;19731,000000;PLB10046;323F
ORE;24395,000000;14.02.2020;1 507,000000000;20470,000000;GJD10431;313FL
ORE;24395,000000;17.02.2020;1 507,000000000;20470,000000;GJD10431;313FL
ORE;24326,000000;31.01.2020;514,000000000;20386,000000;HWP02102;432F2
ORE;24326,000000;03.02.2020;514,000000000;20386,000000;HWP02102;432F2
ORE;24323,000000;30.01.2020;2 650,000000000;19686,000000;PRG00195;313FL
ORE;24323,000000;31.01.2020;2 650,000000000;19686,000000;PRG00195;313FL
ORE;24311,000000;28.01.2020;550,000000000;20708,000000;HWP00945;432F2
ORE;24311,000000;31.01.2020;550,000000000;20708,000000;HWP00945;432F2
ORE;24275,000000;17.01.2020;2 671,000000000;20028,000000;HWP01381;432F2
ORE;24275,000000;20.01.2020;2 671,000000000;20028,000000;HWP01381;432F2
ORE;24275,000000;22.01.2020;2 671,000000000;20028,000000;HWP01381;432F2
ORE;24275,000000;24.01.2020;2 671,000000000;20028,000000;HWP01381;432F2
ORE;24249,000000;14.01.2020;2 460,000000000;20046,000000;HCJ10143;326F
ORE;24249,000000;17.01.2020;2 460,000000000;20046,000000;HCJ10143;326F
ORE;24235,000000;13.01.2020;750,000000000;19730,000000;FB300224;MH3022
ORE;24235,000000;14.01.2020;750,000000000;19730,000000;FB300224;MH3022
ORE;24235,000000;17.01.2020;750,000000000;19730,000000;FB300224;MH3022
ORE;24224,000000;09.01.2020;2 810,000000000;20096,000000;GJD10176;313FL
ORE;24224,000000;10.01.2020;2 810,000000000;20096,000000;GJD10176;313FL
ORE;24222,000000;08.01.2020;2 557,000000000;19686,000000;PRG00195;313FL
ORE;24222,000000;09.01.2020;2 557,000000000;19686,000000;PRG00195;313FL
ORE;24210,000000;07.01.2020;549,000000000;20190,000000;HWP01627;432F2
ORE;24210,000000;15.01.2020;549,000000000;20190,000000;HWP01627;432F2
ORE;24207,000000;06.01.2020;12,000000000;20728,000000;Y9C00226;120
ORE;24189,000000;31.12.2019;428,000000000;20708,000000;HWP00945;432F2
ORE;24189,000000;31.12.2019;550,000000000;20708,000000;HWP00945;432F2
ORE;24189,000000;02.01.2020;550,000000000;20708,000000;HWP00945;432F2
ORE;24176,000000;23.12.2019;2 076,000000000;20028,000000;HWP01381;432F2
ORE;24176,000000;30.12.2019;2 076,000000000;20028,000000;HWP01381;432F2
ORE;24166,000000;19.12.2019;1 673,000000000;20385,000000;ECZ20074;316FL
ORE;24159,000000;17.12.2019;750,000000000;19730,000000;FB300224;MH3022
ORE;24107,000000;05.12.2019;1 002,000000000;19668,000000;H2600338;918M
ORE;24107,000000;11.12.2019;1 002,000000000;19668,000000;H2600338;918M
ORE;24095,000000;02.12.2019;439,000000000;20386,000000;HWP02102;432F2
ORE;24095,000000;03.12.2019;439,000000000;20386,000000;HWP02102;432F2
ORE;24095,000000;05.12.2019;439,000000000;20386,000000;HWP02102;432F2
ORE;23994,000000;11.11.2019;1 324,000000000;20385,000000;ECZ20074;316FL
ORE;23897,000000;23.10.2019;1 000,000000000;20470,000000;GJD10431;313FL
ORE;23897,000000;23.10.2019;1 100,000000000;20470,000000;GJD10431;313FL
ORE;23897,000000;24.10.2019;1 000,000000000;20470,000000;GJD10431;313FL
ORE;23897,000000;24.10.2019;1 100,000000000;20470,000000;GJD10431;313FL
ORE;23865,000000;15.10.2019;946,000000000;19668,000000;H2600338;918M
ORE;23865,000000;17.10.2019;946,000000000;19668,000000;H2600338;918M
ORE;23778,000000;18.09.2019;47,000000000;20728,000000;Y9C00226;120
ORE;23778,000000;18.09.2019;12,000000000;20728,000000;Y9C00226;120
ORE;23748,000000;20.09.2019;294,000000000;20386,000000;HWP02102;432F2
ORE;23694,000000;05.09.2019;2 519,000000000;19731,000000;PLB10046;323F
ORE;23694,000000;10.09.2019;2 519,000000000;19731,000000;PLB10046;323F
ORE;23654,000000;30.08.2019;1 244,000000000;20385,000000;ECZ20074;316FL
ORE;23654,000000;31.08.2019;1 244,000000000;20385,000000;ECZ20074;316FL
ORE;23634,000000;24.08.2019;,000000000;20708,000000;HWP00945;432F2
ORE;23634,000000;24.08.2019;343,000000000;20708,000000;HWP00945;432F2
ORE;23634,000000;05.09.2019;343,000000000;20708,000000;HWP00945;432F2
ORE;23627,000000;23.08.2019;2 132,000000000;20028,000000;HWP01381;432F2
ORE;23627,000000;26.08.2019;2 132,000000000;20028,000000;HWP01381;432F2
ORE;23572,000000;05.08.2019;2,000000000;20700,000000;HWP02680;432F2
ORE;23525,000000;24.07.2019;4 056,000000000;20134,000000;MEL00126;D6T
ORE;23525,000000;25.07.2019;4 056,000000000;20134,000000;MEL00126;D6T
